Date;Time;Severity;Message
2026/04/12;00:40:09.308;INFO;[Conversion] Conversion finished. Duration: 2s 166ms;
2026/04/12;00:40:09.308;INFO;================================================================================;
2026/04/12;00:40:09.308;INFO;[Write     ] Writing InfoFiles;
2026/04/12;00:40:09.317;INFO;[Write     ] Driver template file "Data\Driver\Template\Car_Normal_osc" is found in project directory;
2026/04/12;00:40:09.317;INFO;[Write     ] TestRun file path: Data\TestRun\Endurance_IPG;
2026/04/12;00:40:09.319;INFO;[Write     ] Road file path: Data\Road\Endurance_IPG_road.rd5;
2026/04/12;00:40:09.320;INFO;[Write     ] Log file path: SimOutput\OSC2CM_Log\OSC2CM_Log_20260412_004007_Endurance_IPG.txt;
2026/04/12;00:40:09.322;INFO;[Write     ] Writing finished. Duration: 14ms;
2026/04/12;00:40:09.322;INFO;================================================================================;
2026/04/12;00:40:09.322;INFO;Process finished successfully. Total conversion time: 2s 300ms;
2026/04/12;00:40:09.322;INFO;================================================================================;
